P0,P1,P2
13814.98494,11710.98809,15355.04046
11594.82896,10222.6825,14503.85173
14317.78275,11726.05709,15433.60956
12759.71734,11390.32365,15605.57095
12582.67784,11759.37579,15228.50132
12961.01503,10938.65758,15529.2467
12070.60668,12205.48467,14917.09478
14540.29442,10311.44339,14128.09144
13770.91917,11539.79265,15119.34415
12928.82116,11057.79362,14916.2219
13543.22339,11321.40581,15629.6299
13635.17665,11987.46167,14927.68535
12842.78621,10764.78843,14517.16281
13659.63882,11719.18769,14421.32299
12049.37321,11535.44486,14649.63354
12063.98285,11846.84953,15371.18819
13667.01649,11683.03835,15024.63689
12418.9432,11698.38005,15134.07196
11862.53688,11449.89527,15374.26371
11579.1222,11893.18784,14860.07322
10893.92491,11447.47206,14636.48901
11802.14698,11532.40658,15432.85184
11137.39666,11225.50809,15473.42965
14247.08293,11219.17791,14809.39447
14222.5247,12578.08207,15211.95036
12956.01688,11153.08025,14735.66834
11636.27627,11180.86726,15025.59704
12685.50917,11353.98899,14079.27305
14146.66224,12379.41355,14464.95753
13795.73424,12015.7322,15213.70514
11384.32843,11520.47868,15132.01466
13951.47184,11639.36305,14855.83022
13622.41318,11903.68163,15545.94704
11638.35294,11546.4249,14939.8593
13289.06451,11282.95281,15631.87505
12920.59465,12022.77708,14186.22662
12497.67932,11647.97398,15009.96901
13274.0537,11495.39869,15071.02698
11973.73636,11811.68371,15745.25097
13678.03526,11598.18982,15435.53842
14030.03452,11595.39148,15676.02028
11697.4012,11889.2378,14543.45394
11645.67476,11017.86936,15365.84949
13466.95137,11147.4259,14396.11746
13501.33329,11444.42747,14749.42029
13663.47709,11215.2225,15266.11364
14535.03055,11462.35645,14435.13984
13479.64311,11326.72031,15282.62727
13771.00049,11839.57445,15945.61366
12107.98789,11638.22975,14309.81672
11547.92978,11094.42567,14748.28483
13109.10622,11273.23495,15079.09245
12678.5779,11005.6065,14726.48249
12536.46651,11464.73361,15222.02137
10589.92618,11213.5565,14990.62081
13568.61057,11907.03778,15047.7182
12359.06399,12424.65013,15131.24374
12253.99418,12000.31325,15020.15231
11845.41584,11718.8276,14960.20911
11533.37499,11630.07381,15257.00956
12713.24795,11868.36871,14715.82819
11895.32532,10727.82706,15074.81142
12200.96371,12062.30045,15496.34224
11865.62766,11589.86054,14187.95279
13014.67671,10385.76503,15930.01453
12496.73121,12037.51252,14756.07384
12039.73419,11547.38162,14618.46565
12666.48358,10751.62684,14409.33927
12950.98344,11522.08737,15599.40382
13625.88933,12202.12933,15599.17952
12909.42019,11572.77466,14270.93485
13143.08428,11438.43297,15264.26163
11984.44645,10920.93775,15193.92546
10377.79675,10961.19357,14966.02842
12413.69318,11270.24103,14267.31579
13244.65956,10885.37026,15234.11295
13126.91176,11567.95026,14206.45633
11787.24211,11970.51546,15241.20381
11458.34557,11560.69238,14676.6419
11372.82467,12340.30561,15369.17341
11884.39741,11349.36167,15179.3823
13730.4819,12030.60762,14736.37686
12735.65052,11522.44041,14770.56442
13363.56116,10708.50484,14995.7994
13102.58396,11713.39331,14406.74392
11810.88349,12289.17947,14774.63212
11535.2568,11602.28301,15313.05807
12449.4315,12064.28114,15585.28381
11902.13732,11177.60253,15831.49414
12876.51775,11288.43721,14993.24834
12360.51504,11526.9694,15183.87378
11914.57169,11360.1495,15064.89417
12376.13644,11308.55808,15156.01318
11740.82053,11921.31852,15014.27398
10335.65388,11692.66355,15295.18184
13291.9072,10890.67344,14764.76241
11223.01775,10603.60619,14866.4264
13197.58463,11660.57471,15288.68279
15325.7934,12500.89699,14837.79241
13637.82696,11992.56072,14847.58668
12087.93951,11334.7663,15173.22275
12881.37498,11785.88387,13711.75318
11878.63934,11139.30985,15988.63865
12282.61312,11415.23928,15276.55751
12937.06305,11652.42358,16037.68542
12784.22552,10586.98404,14342.15544
13432.31103,11138.92115,14398.42521
10772.28901,11117.27717,14787.22269
11299.1585,10971.0656,15652.21445
11593.50533,11911.5436,15072.36093
12790.29676,11853.53874,15762.78937
13398.04745,11631.20026,14996.64878
14147.10952,11481.16983,14978.31583
11422.305,11905.66047,14544.82503
12703.0633,11088.61413,14335.10602
14620.22216,12347.10459,15756.73527
13224.48822,12112.14816,14902.57244
12346.14948,11764.9002,15050.99979
13397.73688,11537.07488,15683.31993
11784.14244,11697.78977,15383.53491
12961.9427,11158.36236,15167.33737
12310.50275,11116.06653,15634.80286
12291.608,11340.13039,15377.99959
12713.50512,11705.92836,15409.30557
12372.49222,11910.94459,15624.84558
12223.26091,11056.57833,15399.80909
12225.56656,11650.84776,15398.11701
12309.42935,10960.82393,15880.55477
12012.86748,12176.95344,14951.81273
13009.23795,11139.61957,15651.51127
12873.27074,11260.91966,14706.09558
12987.89693,11846.79233,15169.83197
13163.18351,11853.41828,15104.67247
13446.17419,11821.14551,14468.70961
11695.64673,11676.94001,15290.80857
13209.42652,10964.77654,15341.99948
12451.86184,11318.75814,14742.35361
13039.81187,11204.79263,15775.79294
13104.44228,11708.26051,14013.78534
11453.15025,11558.28384,15580.75181
11843.85422,11079.45834,14238.15341
11895.69881,11284.40988,14611.19887
13838.92415,11241.05634,14874.23109
12074.96304,11417.10601,16111.60634
13491.33503,11968.15338,15675.35211
12696.95914,11132.66936,15157.53528
13685.43747,11653.27428,14543.8289
12274.7949,11470.00455,14778.25865
12865.0468,11621.40829,14829.36458
12411.61621,11641.08078,15516.55981
11487.78498,11266.32776,14740.16628
12660.80029,11024.08839,15374.20866
11436.38247,11175.10862,14659.61213
11348.14308,11404.87322,14587.01279
12583.68593,11081.68116,14827.93784
12018.5243,10954.31016,14906.49853
11088.75466,11387.98258,13882.46194
12481.49098,11161.95184,15372.33887
12649.82454,11537.34769,14941.26915
12454.71236,12429.39867,14982.90345
12124.55846,11852.40525,14875.25867
12832.41556,12079.45999,15371.80371
11803.77002,11859.54688,14411.96487
11093.68214,11617.99036,15105.92403
12413.01779,12218.91436,14936.19152
14055.73952,11681.50368,16290.27785
12249.47544,11896.38056,14651.09338
11290.24968,12055.33138,14318.46009
12423.59253,11276.76137,14495.48951
11377.18217,11164.43413,14902.36424
12728.78288,11858.43898,15198.1715
13021.0868,11753.99267,14405.03623
13589.75363,11966.80789,14840.1144
12011.02139,11453.64031,14854.22394
11617.98181,11802.0132,15305.87385
13510.24862,12062.04519,14688.72223
11651.1101,11478.564,15268.71329
13345.93595,11246.51408,15609.09458
12889.16741,10959.71997,14821.02312
14154.81705,11364.01829,14651.09744
12775.44768,11227.90701,14950.77486
11839.91173,11935.69943,15854.46491
12918.77106,11760.61169,16054.71006
13428.60077,11082.52933,15771.19104
12587.21002,12149.81541,13382.21627
11614.7337,11226.73391,14396.45424
12004.57941,12077.76754,15120.29403
12522.51398,11687.60751,15216.70571
13089.5091,11394.57708,15936.94244
9402.115847,12133.60753,14829.74126
11229.29332,11677.51702,15751.23443
11466.83365,11537.62521,15056.37986
11698.07399,11077.68688,14684.69216
12203.31945,11336.30228,14731.78644
13923.17306,11337.89924,14635.93431
13296.46973,11805.25531,14673.45327
11737.27702,12080.59546,15357.50055
11821.1791,12255.26506,14424.9655
10658.97441,10622.65121,14668.23991
11931.34296,11264.30947,15274.26164
10680.22607,11421.38793,14423.10507
13358.42778,11271.55702,15588.54316
13327.08335,11360.84945,14986.43995
12714.01417,11999.37354,14713.63171
11458.70741,10915.04387,14592.67789
12850.39921,11704.36942,13394.06131
12533.45398,11507.36666,15332.04027
12570.70103,11126.63582,15275.62551
12561.27828,11114.81718,15670.18981
12957.48434,10987.64936,13898.2606
11277.50678,11996.35788,15010.91289
12993.02932,11209.40727,15355.10953
11322.08109,11748.48474,14970.96614
13615.1613,10910.94065,14465.62003
13489.9121,10879.08045,15360.3045
11876.01181,11821.894,14733.6026
12009.98545,11034.03739,15106.29897
13382.13941,11478.19304,15834.96262
13382.87,11209.31552,14631.38359
10730.89265,11215.47159,14819.89158
12615.01423,11273.72029,15325.09069
10999.30341,12664.16617,14879.94356
13696.57328,11561.03195,14457.1233
12752.37617,11101.20278,14784.34435
12244.8325,11890.41297,15464.06055
11874.92812,11282.29023,15738.64771
13118.63055,11790.08123,13936.42651
12677.23256,11484.21003,14871.46433
12671.26013,11479.20117,15359.27724
13680.31055,11255.24425,14847.75749
12068.8383,11717.01441,14449.7995
12779.49253,11909.83316,15362.29137
12479.57373,10496.14666,15322.37042
12578.05027,12121.31505,16035.9014
14723.54066,11706.34694,15067.04843
11084.23293,10649.4335,14911.62817
13108.81724,12443.03207,14838.20315
13207.66534,11771.81003,15176.54165
13249.89189,11786.40374,15726.40913
11529.22198,10772.52378,14920.6125
11259.11647,11386.36235,15342.69906
11314.21829,11608.60247,14613.54691
12535.87265,11214.38769,15025.11339
12362.03233,11496.06892,15626.68919
13208.38913,12050.0671,14808.76385
12767.83323,11646.05816,15222.38537
11958.89078,11446.92546,14307.80519
11702.34641,11207.64625,14617.716
11470.92996,11251.90606,14352.51232
11401.95504,11503.20879,14301.47432
13280.45346,10803.32911,15036.92009
12019.40307,11529.88857,14832.73172
11339.40403,11143.15812,14579.41522
12818.15144,12637.57776,14193.66189
12923.81797,11634.20058,15107.14323
13608.67528,10958.54768,13473.6094
13513.0433,11519.07484,14978.67003
12433.44003,10807.34192,13886.04438
13965.65092,11594.71388,15489.27361
11272.3495,12056.00751,15600.11355
12952.68301,11833.91113,14754.13775
12877.59761,11435.21746,14728.12703
12842.04059,11045.53064,15526.17982
13260.68776,11493.58198,15876.9556
13290.08733,11382.35461,14867.56664
11615.02062,11880.743,14432.74489
12169.85094,11150.73495,14759.01415
12549.3832,10973.6894,15498.44813
13053.5832,11854.66567,14029.96761
11080.12291,11975.23689,15665.06688
12145.99015,11478.58217,14742.36434
12593.70293,11046.51047,15304.72403
10993.14742,11811.19526,15055.18572
13944.36947,11695.78311,14758.74024
12874.57152,12313.38217,14595.12611
12921.72247,11555.48022,16110.0659
13990.43597,11360.26223,14334.00583
13216.19321,11661.11721,14572.57778
12241.08019,11673.93328,15667.15582
13465.42489,11139.39916,15509.27366
12270.43934,11206.93804,15821.82616
11249.32784,11573.31448,14737.42806
12377.13223,11149.19759,14476.22609
12827.29257,11253.16128,16487.23049
13008.04676,11572.86667,13851.14309
10507.18025,11633.18663,14611.54848
11806.54309,11878.06203,14735.54862
12582.59379,11468.64392,14217.04587
14690.73638,11486.85832,14548.96048
12949.08303,11465.63546,14530.30803
11045.29014,11817.6496,15744.59158
12925.29614,11248.73193,14430.83856
11589.24566,12536.44162,15402.0859
12238.98713,11661.29938,14985.23686
13239.88008,10820.20802,15540.64567
14089.37921,11678.93159,15849.71754
12214.37284,11631.41923,14651.97798
13303.28948,10766.23975,15563.15696
12497.96848,11011.96567,15117.85997
12045.23741,11183.66754,14920.54978
11055.28771,11396.90011,15092.35218
13295.2209,12644.37091,15554.1108
11599.2077,10661.40628,14837.7724
11055.85209,11083.67626,14908.11909
12030.96718,11916.68783,15100.76012
12071.39291,11455.80969,14362.86521
11545.84748,10824.90458,14610.66339
13162.20831,12660.03407,14407.94502
11299.71959,10516.43663,15239.23345
11978.35081,11145.50234,14511.01712
12382.67609,11807.34128,15196.67276
14499.18084,11923.94978,14954.55123
12734.0619,12131.39198,15362.46917
12216.5926,12024.36563,14669.35533
13825.5892,11121.43204,14147.09407
12932.77518,11452.0352,14860.44813
13260.67531,11975.84108,15057.94114
12229.69021,11878.61163,15845.22452
11948.34985,11251.969,15296.90212
13448.73932,11538.91946,15388.57185
13736.41781,11135.94066,14749.18579
13293.64522,11146.56405,15321.60213
9907.332789,11249.42943,14772.64756
11078.82748,10824.95064,14973.96393
12075.47674,12048.70627,13873.10346
11515.21839,11666.35412,14322.94902
12544.45121,11238.36011,13510.3708
11773.59439,11396.32909,15388.81375
11798.40827,11043.90745,14376.59369
13396.89619,11189.27947,14741.15753
12017.6785,10983.24083,14955.48506
13244.17072,11787.25313,14548.42112
13156.53058,12480.84709,15098.83419
12672.90832,11942.20272,14894.05135
11762.32565,11771.69181,13641.29798
11984.37406,12221.19438,14797.25883
12235.99985,11666.63343,14202.91654
14241.21853,11383.47043,15391.00585
12003.63188,11305.49758,15713.47464
12015.52518,11760.1283,15019.37232
13169.25843,11737.22512,16459.2259
11539.18538,11465.81134,14620.93726
12943.39737,11812.14309,14273.87064
14270.01365,11014.79645,15790.18692
11380.35762,12242.46847,14727.12319
14054.6031,11894.91844,15503.27769
13707.83776,11771.13664,14859.09655
11351.66754,11375.12404,15745.96549
12636.80103,11177.90996,15401.00121
13252.96516,12060.72229,15558.53048
12393.79507,12532.19773,15163.54634
11781.33189,11851.90545,15149.24514
11333.8901,12175.7569,15111.67545
11181.0747,11853.28202,14465.66178
12464.37606,11740.32057,15295.10892
12198.32442,11010.85808,15180.94482
12993.10765,11665.21749,14440.49247
12222.77914,11990.16817,14411.32662
12215.60421,11359.77381,14903.83714
12032.45395,11542.57835,14652.19986
12115.86705,11368.67734,14851.19576
12018.83885,11757.93862,14971.33431
11596.4677,12074.01311,14520.48633
12981.80208,11505.68912,14992.08089
11699.79441,11784.86039,15218.81986
12987.03404,11099.58085,15289.79122
11227.24275,11696.36174,14792.28746
11144.42367,11748.09215,15208.37869
12901.87675,11457.00262,15919.56851
14424.33591,11427.58428,14833.9563
11327.04712,11026.54078,14794.2992
13185.68782,11055.90516,15853.04432
12883.10788,10647.79171,15254.94408
12235.99941,12076.98126,15170.86409
13047.62689,11238.65259,14544.15144
11542.11879,11878.68285,14429.66289
11747.18356,11256.88765,14746.96708
11417.81083,10254.09338,15156.28752
12244.39749,11558.5051,14960.89787
12725.40993,12028.67027,15214.25689
13577.23769,10719.50608,14643.7391
12073.01894,11843.21758,15031.60931
12574.93918,11469.10409,13826.02663
13094.50867,11107.59019,15117.12006
11700.42873,11596.28825,13870.14963
12279.79349,12070.13035,14770.19852
12808.96057,10931.20652,14906.77799
12362.32714,12042.92165,14258.07965
13149.04112,11327.40464,15054.0686
12396.61773,11605.79946,15707.39981
13098.37992,11363.24217,14974.73221
12593.77504,11973.74943,14773.07082
12115.07728,11469.6305,15840.41652
12661.53419,11797.89433,15434.91952
12411.61677,10828.23032,13919.44669
13062.59807,11988.02973,15176.66093
12612.15243,11511.82161,14929.00329
11356.01784,11833.61086,15123.65443
13433.16432,11166.54656,15272.10292
13098.80812,11035.76415,14810.02176
13287.06896,11329.05805,13965.79491
13073.74982,11133.08462,14316.72353
12600.53841,12511.11886,14072.82966
12465.87648,11204.64642,14531.88862
14335.55057,11792.18383,14438.73803
11399.74393,11423.15543,15211.15744
11933.94157,10935.78873,14475.25089
12131.71408,11789.43811,14650.93756
12037.3363,11934.99327,15022.48543
13198.39274,11491.81798,14605.59009
13273.43007,11983.62118,15116.9712
11135.95192,11509.79821,15249.76119
12468.40158,11710.01093,15451.64518
12456.95446,10900.91491,15535.17096
13699.05443,11361.5434,13434.75942
11419.2986,11035.97156,15288.80608
10762.35298,11030.29011,15302.26626
13991.38652,11399.6045,14456.06631
13661.66242,11339.19249,14639.6033
12075.52985,11543.45414,14844.52194
13389.38473,11710.10513,15406.01289
12094.03471,10943.57719,15061.39259
11436.43555,11352.61504,15172.69915
14437.90354,11270.45503,15122.93433
12091.35724,12002.79304,14317.52855
11789.50612,11554.68276,14969.4445
11887.89263,11433.72214,14722.68191
12209.47018,10711.09973,14478.01551
12945.0613,11375.08402,14841.36061
12078.90971,11950.9339,15795.39796
11579.73546,11718.0949,15029.39832
12825.67894,11503.80639,15087.51771
12305.74464,12012.84772,15039.38753
11353.19798,10922.99164,15375.72261
11271.0372,11223.89893,13875.00897
12952.9322,11887.87068,14692.84526
10396.56272,11744.92001,14686.96833
13659.41577,11455.42445,13712.40279
10628.35861,12437.92946,14592.85529
13002.96165,12155.21146,14745.99018
12473.93021,11291.57322,14973.85481
14028.20616,12334.33323,15280.70837
12053.44163,11146.86943,16448.95344
11420.90106,11556.17591,15092.82499
12176.48791,11172.62533,15381.06328
13707.404,11185.54214,15087.13137
12100.71708,11108.16289,15383.20209
13129.9519,11990.6157,14868.34114
15280.35633,11393.4273,15825.83952
13790.83346,11531.52663,15367.69861
11737.73433,11033.84927,14816.23536
11147.02395,10766.0177,15338.3805
12237.52677,11758.06499,14972.71305
12656.84281,11830.49182,14543.15851
13011.26958,11085.58821,14838.98184
13573.6187,12195.98897,15156.53353
10894.67208,10916.27727,14797.78671
11594.0638,11511.09928,15489.20345
11811.96785,10805.06633,14500.56263
10658.71282,10587.09801,14621.15911
11495.52058,11428.2952,15293.94583
13290.5967,12324.97742,14425.12908
12808.143,11081.47039,14580.0201
13368.22278,12220.74402,14237.96288
10907.78808,11942.08483,14798.326
13782.93988,11497.28924,14741.21654
12421.51422,11757.20811,15199.27272
15243.3053,11655.24075,14383.92466
10281.88923,11300.94814,15085.92349
12162.6333,11156.94551,14533.86879
13509.55479,11248.88715,15090.40053
13152.10632,11743.88206,15035.39956
11831.34248,11606.59054,14986.66941
12607.86545,12009.69236,14315.32978
12359.92443,12046.16114,15351.74899
13138.48031,11340.7797,15336.45711
12290.12544,12005.08449,15134.92544
11899.27412,11772.69836,15051.37231
13862.43612,11912.34497,14957.32727
11484.83136,11496.06279,15468.14291
12707.60909,11743.48291,15569.18699
12924.11802,10947.46825,14421.55658
12107.80401,11352.62087,14747.64703
13177.25006,11421.21095,14797.53411
12438.91453,11411.99523,14515.28453
12657.78195,11431.07078,15030.62196
11689.84605,12323.62873,14373.19743
12146.1869,11427.8154,14826.31546
11753.48627,11088.73988,14983.57094
10896.28558,11374.59828,15467.11486
13809.34583,11594.07905,15100.01701
11988.3045,12210.26729,14461.92855
12264.95489,11319.41736,14908.59008
12421.87925,11317.19113,14858.24273
12384.57929,12037.97668,14184.1025
11427.32609,11577.56782,15107.12557
12081.87825,11843.8701,15294.74325
12841.80691,12148.59095,15957.39452
12925.77782,11373.17165,15124.26645
10881.93484,11554.22493,15317.29539
11909.75427,11177.24319,15711.91699
10806.18476,11793.01299,15722.46483
11992.10374,11469.00195,14774.068
12996.59102,12127.3176,15296.82834
12346.76985,11669.18662,15001.914
12157.36189,11576.10213,15109.36648
13489.60838,12122.03632,15248.4963
12167.05081,11354.20942,15749.71393
12169.70683,12109.92742,15755.06807
12248.99092,11294.08761,14644.91689
12308.54299,11452.69439,14142.2688
12389.9331,10952.93896,14884.43669
11765.4562,11559.66863,15079.4929
10921.92532,11599.61131,14657.08088
12705.12649,12127.75931,15461.43328
13320.51535,12052.34266,15246.059
12408.02642,11285.58592,14719.04046
10881.92913,11224.19779,14622.09407
13181.83496,10870.68112,14260.6779
12070.41647,11978.61653,15110.91468
11724.94294,11544.99825,14857.16888
13510.04349,11393.71344,14826.9285
11682.18976,11054.98657,14581.16942
12768.08152,11140.38223,15197.39237
12444.22875,10637.36508,14082.46137
12427.41672,11984.9864,14692.46215
11819.08096,11160.93213,14574.70173
12049.11246,11543.36266,14722.2695
12402.95496,11767.56683,14691.23497
12147.82862,11147.10343,15710.09348
11987.46208,12174.76413,15194.68489
12151.36858,11660.6349,15387.2963
12393.92411,10736.36836,15043.92942
12467.14724,11227.59613,15185.73104
11132.40759,12342.65237,14794.82407
14515.71616,10899.53628,15282.02019
12858.83519,10773.18093,14047.9919
12077.71231,11436.10924,14501.18196
12516.99766,11416.97489,14669.9824
13616.02471,11336.6792,15028.39832
13871.13922,11071.12141,14923.47731
13250.84855,12162.49746,14410.38517
12701.67442,12030.1298,14662.54062
12450.73589,12369.27556,14498.36571
11919.5121,11100.4356,15586.28487
13555.02511,11390.67916,15295.10212
12896.33547,11353.04819,15356.06701
12346.11157,10719.52527,14382.92715
9976.517555,11158.00722,14164.77498
13066.49771,10943.33721,14690.60352
12542.26984,11379.4732,14656.23092
12993.37595,11087.33263,14696.37067
13647.60543,11604.57075,15728.97784
13672.85343,11440.87892,15370.29408
13532.91186,11886.17492,14702.36895
11362.99679,11440.83184,14879.09478
12876.79503,11334.93584,15101.87546
11951.21898,11488.05467,16355.93932
11478.61547,12272.85997,14967.90593
12917.97435,11306.39579,14474.27047
13560.71728,11920.73372,15461.36954
13660.79873,11494.41814,15044.69095
13817.24151,11634.96611,15264.98469
12613.5662,11458.75921,15528.60409
11940.43325,12165.30921,15494.35565
12867.86221,10772.42062,15365.26337
11661.4575,11752.03601,14540.29896
11312.7904,11442.69189,15312.9421
12785.46979,11607.20835,14173.12972
11122.61404,11022.86425,15502.46904
13672.76701,11366.6025,14960.41504
12183.95006,11515.63213,13754.75691
11886.69312,11623.33859,15341.34735
11816.7646,11078.63724,14094.67853
11093.96522,11490.17,14992.05641
12934.74698,11866.38031,14363.01911
12384.78503,11245.22447,14835.61229
13689.86823,11973.67632,14312.94602
13351.79491,11432.91851,13939.53603
12431.8383,11897.5091,14397.88562
11937.79939,11926.98829,14786.29172
12326.45885,11576.79548,14858.25417
13568.66627,11224.1926,14671.9805
13434.3243,10833.70777,13870.3821
13337.51325,11308.55336,15666.58015
13275.13716,11145.10339,14496.79015
13274.35552,11432.11053,15077.99422
12792.88818,12186.14608,14779.40714
12656.31239,11769.98644,15023.99021
13906.02727,10978.14956,15639.23909
11846.17767,11335.86751,14791.12175
13032.51163,11848.45216,14800.52502
11720.25026,10793.84414,14832.02605
12257.97284,11652.3062,15510.51473
11093.26492,11741.06397,15152.89147
13021.4588,10896.66819,15936.07835
11833.0215,11371.18722,14874.93297
12424.0341,11871.8728,14541.67863
14805.91361,11902.9951,16561.95546
12847.40052,11295.77709,15502.00107
10071.45571,11047.15568,15685.31648
12806.11539,11661.74024,14538.25286
13040.19575,11298.02322,15436.836
12674.74955,11701.25175,14832.76147
12502.68485,11263.22179,14830.87818
12901.45894,10985.01695,15182.97193
11961.90077,11663.86219,15346.01629
12741.77011,11765.87552,15246.98471
12147.01861,11702.41542,14554.78225
13250.48917,11568.07621,14613.51345
11902.40066,11985.55852,14892.3844
12298.74323,12469.66437,15449.14076
12300.38234,11519.07847,15156.76012
11561.23365,11243.15589,14968.8352
12484.3758,12829.05201,14696.54444
11707.29046,11354.91339,14908.49081
12548.49233,12371.10751,15866.65741
10157.5353,11283.40935,15505.94271
14431.54786,11033.39996,14632.99443
11441.56945,11657.38421,14238.84075
12337.73844,11961.06547,15141.59084
12839.21409,12030.35718,15443.92993
11540.67341,11433.44547,15371.21585
11637.32219,11438.41059,15259.83958
12302.65922,11742.13975,15802.94386
13690.82757,11155.72677,15801.14019
10876.75556,11259.19261,14516.2939
11074.8371,11289.46202,15759.6365
13291.12271,11666.31926,15479.05105
12939.53501,11848.1259,15159.64101
12954.2419,11225.26198,14954.09169
12887.19515,10860.34101,14767.83087
12243.72562,10822.47692,14671.19586
12505.77311,11571.88401,15146.35545
12882.48433,12132.96681,14410.72699
10908.21813,11441.76954,14997.34867
13408.14102,11693.76257,15055.12517
12424.20018,11807.14756,15434.72622
13041.36671,11566.6552,14995.38141
12447.95614,11586.62066,14580.25663
11831.74114,10491.29137,16022.56623
12455.68207,11332.66827,15376.72123
13146.88878,12820.38686,15160.30098
12904.39942,12848.15712,14774.85701
12011.58476,11759.16273,15590.11493
12950.09878,11916.33984,16009.70175
11884.4923,11630.69885,15711.56993
11859.03906,10952.21785,15085.05176
11728.65859,11811.98755,14919.23089
12185.66796,11513.97968,15358.48299
11035.16109,10871.76576,15379.17217
11868.62964,11294.84603,14805.65379
12786.75896,11240.02201,15498.89369
12526.90363,11419.81121,14979.68064
13473.68496,12071.53057,14559.27901
11858.62488,11452.88033,14187.10108
12122.5615,11324.78595,15063.15454
12202.88626,11655.70171,14856.36115
12078.1083,11840.02992,15636.31243
13349.93767,11947.74459,15372.65966
13095.65168,11656.44486,15237.35937
10627.077,12006.83382,14391.94692
13907.36944,11447.18354,15183.94584
11562.80588,11351.7068,14322.2929
12635.9286,10168.72963,15602.32289
13549.07463,11022.75796,15698.99414
12474.95185,11803.08063,15020.05107
11835.14276,11280.29412,15112.8024
12634.25917,11537.80754,14604.4032
13163.79951,10887.93118,13851.33562
12323.27326,11871.11195,15079.09047
11333.39913,12322.65388,14478.65126
11451.72096,11216.28668,15448.59871
13087.30548,11564.07627,15077.61617
12757.71106,11345.6741,14260.57375
11330.70778,11290.46326,14524.89816
12418.55528,12001.03881,14970.27234
11947.7038,11157.04955,14758.97323
